english	translation	category	sub_category	source
Members: Green dragonhide body	Tagoknak: Green dragonhide body	interface	generalUI	skillGuide
Members: Mixed hide cape	Tagoknak: Mixed hide cape	interface	generalUI	skillGuide
Members: Mixed hide boots	Tagoknak: Mixed hide boots	interface	generalUI	skillGuide
Members: Blue dragonhide shield	Tagoknak: Blue dragonhide shield	interface	generalUI	skillGuide
Members: Blue dragonhide body	Tagoknak: Blue dragonhide body	interface	generalUI	skillGuide
Members: Mixed hide body	Tagoknak: Mixed hide body	interface	generalUI	skillGuide
Members: Red dragonhide shield	Tagoknak: Red dragonhide shield	interface	generalUI	skillGuide
Members: Red dragonhide body	Tagoknak: Red dragonhide body	interface	generalUI	skillGuide
Members: Black dragonhide shield	Tagoknak: Black dragonhide shield	interface	generalUI	skillGuide
Members: Black dragonhide body	Tagoknak: Black dragonhide body	interface	generalUI	skillGuide
Members: Hueycoatl hide coif	Tagoknak: Hueycoatl hide coif	interface	generalUI	skillGuide
Members: Hueycoatl hide body	Tagoknak: Hueycoatl hide body	interface	generalUI	skillGuide
Members: Break down armadylean armour and fortify Masori armour	Tagoknak: Break down armadylean armour and fortify Masori armour	interface	generalUI	skillGuide
Wool	Wool	interface	generalUI	skillGuide
Members: Flax into bow strings	Tagoknak: Flax into bow strings	interface	generalUI	skillGuide
Members: Sinew into crossbow strings	Tagoknak: Sinew into crossbow strings	interface	generalUI	skillGuide
Members: Magic tree roots into magic strings	Tagoknak: Magic tree roots into magic strings	interface	generalUI	skillGuide
Members: Yak hair into rope	Tagoknak: Yak hair into rope	interface	generalUI	skillGuide
Pot	Pot	interface	generalUI	skillGuide
Members: Cup	Tagoknak: Cup	interface	generalUI	skillGuide
Pie dish	Pie dish	interface	generalUI	skillGuide
Bowl	Bowl	interface	generalUI	skillGuide
Members: Plant pot	Tagoknak: Plant pot	interface	generalUI	skillGuide
Members: Pot lid	Tagoknak: Pot lid	interface	generalUI	skillGuide
Glass - Members Only	Glass – Csak tagoknak	interface	generalUI	skillGuide
Beer glass	Beer glass	interface	generalUI	skillGuide
Candle lantern	Gyertya lámpás	interface	generalUI	skillGuide
Oil lamp	Oil lamp	interface	generalUI	skillGuide
Oil lantern	Oil lantern	interface	generalUI	skillGuide
Vial	Üvegcse	interface	generalUI	skillGuide
Fishbowl	Fishbowl	interface	generalUI	skillGuide
Glass orb	Glass orb	interface	generalUI	skillGuide
Bullseye lantern lens	Bullseye lantern lens	interface	generalUI	skillGuide
Dorgeshuun light orb	Dorgeshuun light orb	interface	generalUI	skillGuide
Members: Cut opal	Tagoknak: Cut opal	interface	generalUI	skillGuide
Members: Opal ring	Tagoknak: Opal ring	interface	generalUI	skillGuide
Polished buttons	Polished buttons	interface	generalUI	skillGuide
Gold ring	Aranygyűrű	interface	generalUI	skillGuide
Gold necklace	Gold necklace	interface	generalUI	skillGuide
Members: Gold bracelet	Tagoknak: Gold bracelet	interface	generalUI	skillGuide
Gold amulet	Gold amulet	interface	generalUI	skillGuide
Members: Cut jade	Tagoknak: Cut jade	interface	generalUI	skillGuide
Members: Jade ring	Tagoknak: Jade ring	interface	generalUI	skillGuide
Holy symbol	Holy symbol	interface	generalUI	skillGuide
Members: Cut red topaz	Tagoknak: Cut red topaz	interface	generalUI	skillGuide
Members: Red topaz ring	Tagoknak: Red topaz ring	interface	generalUI	skillGuide
Members: Opal necklace	Tagoknak: Opal necklace	interface	generalUI	skillGuide
Members: Unholy symbol	Tagoknak: Unholy symbol	interface	generalUI	skillGuide
Cut sapphire	Cut sapphire	interface	generalUI	skillGuide
Sapphire ring	Sapphire ring	interface	generalUI	skillGuide
Sapphire necklace	Sapphire necklace	interface	generalUI	skillGuide
Members: Opal bracelet	Tagoknak: Opal bracelet	interface	generalUI	skillGuide
Tiara	Tiara	interface	generalUI	skillGuide
Members: Sapphire bracelet	Tagoknak: Sapphire bracelet	interface	generalUI	skillGuide
Sapphire amulet	Sapphire amulet	interface	generalUI	skillGuide
Members: Jade necklace	Tagoknak: Jade necklace	interface	generalUI	skillGuide
Cut emerald	Cut emerald	interface	generalUI	skillGuide
Emerald ring	Emerald ring	interface	generalUI	skillGuide
Members: Opal amulet	Tagoknak: Opal amulet	interface	generalUI	skillGuide
Emerald necklace	Emerald necklace	interface	generalUI	skillGuide
Members: Jade bracelet	Tagoknak: Jade bracelet	interface	generalUI	skillGuide
Members: Emerald bracelet	Tagoknak: Emerald bracelet	interface	generalUI	skillGuide
Emerald amulet	Emerald amulet	interface	generalUI	skillGuide
Members: Red topaz necklace	Tagoknak: Red topaz necklace	interface	generalUI	skillGuide
Cut ruby	Cut ruby	interface	generalUI	skillGuide
Ruby ring	Ruby ring	interface	generalUI	skillGuide
Members: Jade amulet	Tagoknak: Jade amulet	interface	generalUI	skillGuide
Members: Rabbit-foot necklaces	Tagoknak: Rabbit-foot necklaces	interface	generalUI	skillGuide
Members: Red topaz bracelet	Tagoknak: Red topaz bracelet	interface	generalUI	skillGuide
Ruby necklace	Ruby necklace	interface	generalUI	skillGuide
Members: Ruby bracelet	Tagoknak: Ruby bracelet	interface	generalUI	skillGuide
Members: Gold Tiara	Tagoknak: Gold Tiara	interface	generalUI	skillGuide
Cut diamond	Cut diamond	interface	generalUI	skillGuide
Diamond ring	Diamond ring	interface	generalUI	skillGuide
Members: Red topaz amulet	Tagoknak: Red topaz amulet	interface	generalUI	skillGuide
Ruby amulet	Ruby amulet	interface	generalUI	skillGuide
Members: Cut dragonstone	Tagoknak: Cut dragonstone	interface	generalUI	skillGuide
Members: Dragonstone ring	Tagoknak: Dragonstone ring	interface	generalUI	skillGuide
Diamond necklace	Diamond necklace	interface	generalUI	skillGuide
Members: Diamond bracelet	Tagoknak: Diamond bracelet	interface	generalUI	skillGuide
Members: Cut onyx	Tagoknak: Cut onyx	interface	generalUI	skillGuide
Members: Onyx ring	Tagoknak: Onyx ring	interface	generalUI	skillGuide
Diamond amulet	Diamond amulet	interface	generalUI	skillGuide
Members: Dragonstone necklace	Tagoknak: Dragonstone necklace	interface	generalUI	skillGuide
Members: Dragonstone bracelet	Tagoknak: Dragonstone bracelet	interface	generalUI	skillGuide
Members: Slayer ring	Tagoknak: Slayer ring	interface	generalUI	skillGuide
Members: Dragonstone amulet	Tagoknak: Dragonstone amulet	interface	generalUI	skillGuide
Members: Icon Removal	Tagoknak: Icon Removal	interface	generalUI	skillGuide
Members: Ultor, Venator, Bellator, Magus rings	Tagoknak: Ultor, Venator, Bellator, Magus rings	interface	generalUI	skillGuide
Members: Onyx necklace	Tagoknak: Onyx necklace	interface	generalUI	skillGuide
Members: Onyx bracelet	Tagoknak: Onyx bracelet	interface	generalUI	skillGuide
Members: Amulet of Rancour	Tagoknak: Amulet of Rancour	interface	generalUI	skillGuide
Members: Cut zenyte	Tagoknak: Cut zenyte	interface	generalUI	skillGuide
Members: Zenyte ring	Tagoknak: Zenyte ring	interface	generalUI	skillGuide
Members: Onyx amulet	Tagoknak: Onyx amulet	interface	generalUI	skillGuide
Members: Zenyte necklace	Tagoknak: Zenyte necklace	interface	generalUI	skillGuide
Members: Zenyte bracelet	Tagoknak: Zenyte bracelet	interface	generalUI	skillGuide
Members: Zenyte amulet	Tagoknak: Zenyte amulet	interface	generalUI	skillGuide
Weaponry - Members Only	Felszerelés – Csak tagoknak	interface	generalUI	skillGuide
Silver sickle	Silver sickle	interface	generalUI	skillGuide
Silver crossbow bolts	Silver crossbow bolts	interface	generalUI	skillGuide
Bone staff	Bone staff	interface	generalUI	skillGuide
Water battlestaff	Water battlestaff	interface	generalUI	skillGuide
Earth battlestaff	Earth battlestaff	interface	generalUI	skillGuide
Toxic Staff of the Dead	Toxic Staff of the Dead	interface	generalUI	skillGuide
Trident of the Swamp	Trident of the Swamp	interface	generalUI	skillGuide
Fire battlestaff	Fire battlestaff	interface	generalUI	skillGuide
Air battlestaff	Air battlestaff	interface	generalUI	skillGuide
Noxious Halberd (With <Num0> Smithing)		interface	generalUI	skillGuide
Purging staff	Purging staff	interface	generalUI	skillGuide
Amethyst bolt tips	Amethyst bolt tips	interface	generalUI	skillGuide
Amethyst arrowtips	Amethyst arrowtips	interface	generalUI	skillGuide
Accursed Sceptre	Accursed Sceptre	interface	generalUI	skillGuide
Amethyst javelin heads	Amethyst javelin heads	interface	generalUI	skillGuide
Amethyst dart tips	Amethyst dart tips	interface	generalUI	skillGuide
Celestial signet (with <Num0> Smithing)	Celestial signet (<Num0> Smithing szinttel)	interface	generalUI	skillGuide
Crystal helm (with <Num0> Smithing)	Crystal helm (<Num0> Smithing szinttel)	interface	generalUI	skillGuide
Crystal legs (with <Num0> Smithing)	Crystal legs (<Num0> Smithing szinttel)	interface	generalUI	skillGuide
Crystal body (with <Num0> Smithing)	Crystal body (<Num0> Smithing szinttel)	interface	generalUI	skillGuide
Crystal pickaxe (with <Num0> Smithing)	Crystal pickaxe (<Num0> Smithing szinttel)	interface	generalUI	skillGuide
Crystal axe (with <Num0> Smithing)	Crystal axe (<Num0> Smithing szinttel)	interface	generalUI	skillGuide
Crystal felling axe (with <Num0> Smithing)	Crystal felling axe (<Num0> Smithing szinttel)	interface	generalUI	skillGuide
Crystal harpoon (with <Num0> Smithing)	Crystal harpoon (<Num0> Smithing szinttel)	interface	generalUI	skillGuide
Crystal bow (with <Num0> Smithing)	Crystal bow (<Num0> Smithing szinttel)	interface	generalUI	skillGuide
Crystal halberd (with <Num0> Smithing)	Crystal halberd (<Num0> Smithing szinttel)	interface	generalUI	skillGuide
Crystal shield (with <Num0> Smithing)	Crystal shield (<Num0> Smithing szinttel)	interface	generalUI	skillGuide
Enhanced crystal key (with <Num0> Smithing)	Enhanced crystal key (<Num0> Smithing szinttel)	interface	generalUI	skillGuide
Eternal teleport crystal (with <Num0> Smithing)	Eternal teleport crystal (<Num0> Smithing szinttel)	interface	generalUI	skillGuide
Blade of Saeldor (with <Num0> Smithing)	Blade of Saeldor (<Num0> Smithing szinttel)	interface	generalUI	skillGuide
Blade of Saeldor (c) (with <Num0> Smithing)	Blade of Saeldor (c) (<Num0> Smithing szinttel)	interface	generalUI	skillGuide
Bow of Faerdhinen (with <Num0> Smithing)	Bow of Faerdhinen (<Num0> Smithing szinttel)	interface	generalUI	skillGuide
Bow of Faerdhinen (c) (with <Num0> Smithing)	Bow of Faerdhinen (c) (<Num0> Smithing szinttel)	interface	generalUI	skillGuide
Craft a birdhouse trap from normal logs	Craft a birdhouse trap from normal logs	interface	generalUI	skillGuide
Extract sinew from monkey tails	Extract sinew from monkey tails	interface	generalUI	skillGuide
Craft a birdhouse trap from oak logs	Craft a birdhouse trap from oak logs	interface	generalUI	skillGuide
Craft a birdhouse trap from willow logs	Craft a birdhouse trap from willow logs	interface	generalUI	skillGuide
Repair Piscarilius fishing cranes (with <Num0> Construction)	Repair Piscarilius fishing cranes (<Num0> Construction szinttel)	interface	generalUI	skillGuide
Craft a birdhouse trap from teak logs	Craft a birdhouse trap from teak logs	interface	generalUI	skillGuide
Craft small hunters' pouches	Craft small hunters' pouches	interface	generalUI	skillGuide
Dense essence (with <Num0> Mining)	Dense essence (<Num0> Mining szinttel)	interface	generalUI	skillGuide
Craft a birdhouse trap from maple logs	Craft a birdhouse trap from maple logs	interface	generalUI	skillGuide
Craft a birdhouse trap from mahogany logs	Craft a birdhouse trap from mahogany logs	interface	generalUI	skillGuide
Craft a clothes pouch (with <Num0> Woodcutting)	Craft a clothes pouch (<Num0> Woodcutting szinttel)	interface	generalUI	skillGuide
Craft medium hunters' pouches	Craft medium hunters' pouches	interface	generalUI	skillGuide
Replace Dorgeshuun light orbs	Replace Dorgeshuun light orbs	interface	generalUI	skillGuide
Craft a colossal pouch from essence pouches	Craft a colossal pouch from essence pouches	interface	generalUI	skillGuide
Craft a birdhouse trap from yew logs	Craft a birdhouse trap from yew logs	interface	generalUI	skillGuide
Craft large hunters' pouches	Craft large hunters' pouches	interface	generalUI	skillGuide
Craft a birdhouse trap from magic logs	Craft a birdhouse trap from magic logs	interface	generalUI	skillGuide
Craft a divine rune pouch from a Thread of Elidinis.	Craft a divine rune pouch from a Thread of Elidinis.	interface	generalUI	skillGuide
Craft a birdhouse trap from redwood logs	Craft a birdhouse trap from redwood logs	interface	generalUI	skillGuide
Firemaking	Tűzgyújtás	interface	generalUI	skillGuide
Burning	Égés	interface	generalUI	skillGuide
Normal logs	Normal logs	interface	generalUI	skillGuide
Members: Achey logs	Tagoknak: Achey logs	interface	generalUI	skillGuide
Members: Pyre logs	Tagoknak: Pyre logs	interface	generalUI	skillGuide
Oak logs	Oak logs	interface	generalUI	skillGuide
Members: Oak pyre logs	Tagoknak: Oak pyre logs	interface	generalUI	skillGuide
Willow logs	Willow logs	interface	generalUI	skillGuide
Members: Teak logs	Tagoknak: Teak logs	interface	generalUI	skillGuide
Members: Willow pyre logs	Tagoknak: Willow pyre logs	interface	generalUI	skillGuide
Members: Teak pyre logs	Tagoknak: Teak pyre logs	interface	generalUI	skillGuide
Members: Arctic pine logs	Tagoknak: Arctic pine logs	interface	generalUI	skillGuide
Maple logs	Maple logs	interface	generalUI	skillGuide
Members: Arctic pine pyre logs	Tagoknak: Arctic pine pyre logs	interface	generalUI	skillGuide
Members: Mahogany logs	Tagoknak: Mahogany logs	interface	generalUI	skillGuide
Members: Maple pyre logs	Tagoknak: Maple pyre logs	interface	generalUI	skillGuide
Members: Mahogany pyre logs	Tagoknak: Mahogany pyre logs	interface	generalUI	skillGuide
Yew logs	Yew logs	interface	generalUI	skillGuide
Members: Blisterwood logs	Tagoknak: Blisterwood logs	interface	generalUI	skillGuide
Members: Yew pyre logs	Tagoknak: Yew pyre logs	interface	generalUI	skillGuide
Members: Magic logs	Tagoknak: Magic logs	interface	generalUI	skillGuide
Members: Magic pyre logs	Tagoknak: Magic pyre logs	interface	generalUI	skillGuide
Members: Redwood logs	Tagoknak: Redwood logs	interface	generalUI	skillGuide
Members: Redwood pyre logs	Tagoknak: Redwood pyre logs	interface	generalUI	skillGuide
Normal Pyre Ships (with <Num0> Crafting)	Normal Pyre Ships (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Achey Pyre Ships (with <Num0> Crafting)	Achey Pyre Ships (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Normal Logs	Normal Logs	interface	generalUI	skillGuide
Achey Logs	Achey Logs	interface	generalUI	skillGuide
Oak Pyre Ships (with <Num0> Crafting)	Oak Pyre Ships (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Oak Logs	Oak Logs	interface	generalUI	skillGuide
Willow Pyre Ships (with <Num0> Crafting)	Willow Pyre Ships (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Teak Pyre Ships (with <Num0> Crafting)	Teak Pyre Ships (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Willow Logs	Willow Logs	interface	generalUI	skillGuide
Arctic Pine Pyre Ships (with <Num0> Crafting)	Arctic Pine Pyre Ships (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Teak Logs	Teak Logs	interface	generalUI	skillGuide
Maple Pyre Ships (with <Num0> Crafting)	Maple Pyre Ships (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Mahogany Pyre Ships (with <Num0> Crafting)	Mahogany Pyre Ships (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Arctic Pine Logs	Arctic Pine Logs	interface	generalUI	skillGuide
Maple Logs	Maple Logs	interface	generalUI	skillGuide
Yew Pyre Ships (with <Num0> Crafting)	Yew Pyre Ships (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Mahogany Logs	Mahogany Logs	interface	generalUI	skillGuide
Yew Logs	Yew Logs	interface	generalUI	skillGuide
Magic Pyre Ships (with <Num0> Crafting)	Magic Pyre Ships (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Magic Logs	Magic Logs	interface	generalUI	skillGuide
Redwood Pyre ships (with <Num0> Crafting)	Redwood Pyre ships (<Num0> Crafting szinttel)	interface	generalUI	skillGuide
Redwood logs	Redwood logs	interface	generalUI	skillGuide
Torches	Torches	interface	generalUI	skillGuide
Candles	Candles	interface	generalUI	skillGuide
Abyssal Lantern (with normal logs)	Abyssal Lantern (with normal logs)	interface	generalUI	skillGuide
Candle lanterns	Candle lanterns	interface	generalUI	skillGuide
Oil lamps	Oil lamps	interface	generalUI	skillGuide
Abyssal Lantern (with oak logs)	Abyssal Lantern (with oak logs)	interface	generalUI	skillGuide
Members: Iron spits	Tagoknak: Iron spits	interface	generalUI	skillGuide
Oil lanterns	Oil lanterns	interface	generalUI	skillGuide
Abyssal Lantern (with willow logs)	Abyssal Lantern (with willow logs)	interface	generalUI	skillGuide
Harpie bug lanterns (not a light source)	Harpie bug lanterns (not a light source)	interface	generalUI	skillGuide
Abyssal Lantern (with maple logs)	Abyssal Lantern (with maple logs)	interface	generalUI	skillGuide
Bullseye lanterns	Bullseye lanterns	interface	generalUI	skillGuide
Sapphire lanterns	Sapphire lanterns	interface	generalUI	skillGuide
Emerald lanterns	Emerald lanterns	interface	generalUI	skillGuide
Bruma torches	Bruma torches	interface	generalUI	skillGuide
Abyssal Lantern (with yew logs)	Abyssal Lantern (with yew logs)	interface	generalUI	skillGuide
Abyssal Lantern (with blisterwood logs)	Abyssal Lantern (with blisterwood logs)	interface	generalUI	skillGuide
Cave goblin mining helmets	Cave goblin mining helmets	interface	generalUI	skillGuide
Abyssal Lantern (with magic logs)	Abyssal Lantern (with magic logs)	interface	generalUI	skillGuide
Create infernal axe (with <Num0> Woodcutting)	Create infernal axe (<Num0> Woodcutting szinttel)	interface	generalUI	skillGuide
Abyssal Lantern (with redwood logs)	Abyssal Lantern (with redwood logs)	interface	generalUI	skillGuide
Wintertodt	Wintertodt	interface	generalUI	skillGuide
Fire of Eternal Light (with <Num0> Construction)	Fire of Eternal Light (<Num0> Construction szinttel)	interface	generalUI	skillGuide
Fire of Nourishment (with <Num0> Construction)	Fire of Nourishment (<Num0> Construction szinttel)	interface	generalUI	skillGuide
Fire of Dehumidification (with <Num0> Construction)	Fire of Dehumidification (<Num0> Construction szinttel)	interface	generalUI	skillGuide
Fire of Unseasonal Warmth (with <Num0> Construction)	Fire of Unseasonal Warmth (<Num0> Construction szinttel)	interface	generalUI	skillGuide
Magic	Mágia	interface	generalUI	skillGuide
Normal Spells	Normal Spells	interface	generalUI	skillGuide
Click a spell icon below to see the required runes to cast each spell.  By opening the spellbook icon on the side interface, you can see what each spell does by moving your mouse over its icon.	Click a spell icon below to see the required runes to cast each spell.  By opening the spellbook icon on the side interface, you can see what each spell does by moving your mouse over its icon.	interface	generalUI	skillGuide
Home teleport (Lumbridge)	Home teleport (Lumbridge)	interface	generalUI	skillGuide
Wind Strike	Wind Strike	interface	generalUI	skillGuide
Confuse	Confuse	interface	generalUI	skillGuide
Water Strike	Water Strike	interface	generalUI	skillGuide
Level <Num0> enchant		interface	generalUI	skillGuide
Earth Strike	Earth Strike	interface	generalUI	skillGuide
Weaken	Weaken	interface	generalUI	skillGuide
Fire Strike	Fire Strike	interface	generalUI	skillGuide
Bones to bananas	Bones to bananas	interface	generalUI	skillGuide
Wind Bolt	Wind Bolt	interface	generalUI	skillGuide
Curse	Curse	interface	generalUI	skillGuide
Bind	Bind	interface	generalUI	skillGuide
Low level alchemy	Low level alchemy	interface	generalUI	skillGuide
Water Bolt	Water Bolt	interface	generalUI	skillGuide
Varrock teleport	Varrock teleport	interface	generalUI	skillGuide
Earth Bolt	Earth Bolt	interface	generalUI	skillGuide
Lumbridge teleport	Lumbridge teleport	interface	generalUI	skillGuide
Telekinetic grab	Telekinetic grab	interface	generalUI	skillGuide
Fire Bolt	Fire Bolt	interface	generalUI	skillGuide
Falador teleport	Falador teleport	interface	generalUI	skillGuide
Crumble undead	Crumble undead	interface	generalUI	skillGuide
Teleport to house	Teleport to house	interface	generalUI	skillGuide
Wind Blast	Wind Blast	interface	generalUI	skillGuide
Superheat item	Superheat item	interface	generalUI	skillGuide
Camelot teleport	Camelot teleport	interface	generalUI	skillGuide
Water Blast	Water Blast	interface	generalUI	skillGuide
Kourend Castle teleport (after Client of Kourend)	Kourend Castle teleport (after Client of Kourend)	interface	generalUI	skillGuide
Iban blast (after Underground Pass)	Iban blast (after Underground Pass)	interface	generalUI	skillGuide
Snare	Snare	interface	generalUI	skillGuide
Magic dart (with <Num0> Slayer)	Magic dart (<Num0> Slayer szinttel)	interface	generalUI	skillGuide
Ardougne teleport (after Plague City)	Ardougne teleport (after Plague City)	interface	generalUI	skillGuide
Earth Blast	Earth Blast	interface	generalUI	skillGuide
Civitas illa Fortis teleport (after Twilight's Promise)	Civitas illa Fortis teleport (after Twilight's Promise)	interface	generalUI	skillGuide
High level alchemy	High level alchemy	interface	generalUI	skillGuide
Charge water orb	Charge water orb	interface	generalUI	skillGuide
Watchtower teleport (after Watchtower)	Watchtower teleport (after Watchtower)	interface	generalUI	skillGuide
Fire Blast	Fire Blast	interface	generalUI	skillGuide
Charge earth orb	Charge earth orb	interface	generalUI	skillGuide
Bones to peaches	Bones to peaches	interface	generalUI	skillGuide
Claws of Guthix (after Mage Arena)	Claws of Guthix (after Mage Arena)	interface	generalUI	skillGuide
Flames of Zamorak (after Mage Arena)	Flames of Zamorak (after Mage Arena)	interface	generalUI	skillGuide
Saradomin Strike (after Mage Arena)	Saradomin Strike (after Mage Arena)	interface	generalUI	skillGuide
Trollheim teleport (after Eadgar's Ruse)	Trollheim teleport (after Eadgar's Ruse)	interface	generalUI	skillGuide
Wind Wave	Wind Wave	interface	generalUI	skillGuide
Charge fire orb	Charge fire orb	interface	generalUI	skillGuide
Ape Atoll teleport (after Recipe for Disaster)	Ape Atoll teleport (after Recipe for Disaster)	interface	generalUI	skillGuide
Water Wave	Water Wave	interface	generalUI	skillGuide
Charge air orb	Charge air orb	interface	generalUI	skillGuide
Vulnerability	Vulnerability	interface	generalUI	skillGuide
Earth Wave	Earth Wave	interface	generalUI	skillGuide
Enfeeble	Enfeeble	interface	generalUI	skillGuide
Teleother Lumbridge	Teleother Lumbridge	interface	generalUI	skillGuide
Fire Wave	Fire Wave	interface	generalUI	skillGuide
Entangle	Entangle	interface	generalUI	skillGuide
Stun	Kábulás	interface	generalUI	skillGuide
Charge (after Mage Arena)	Charge (after Mage Arena)	interface	generalUI	skillGuide
Wind Surge	Wind Surge	interface	generalUI	skillGuide
Teleother Falador	Teleother Falador	interface	generalUI	skillGuide
Water Surge	Water Surge	interface	generalUI	skillGuide
Tele block	Tele block	interface	generalUI	skillGuide
Teleport to Target	Teleport to Target	interface	generalUI	skillGuide
Earth Surge	Earth Surge	interface	generalUI	skillGuide
Teleother Camelot	Teleother Camelot	interface	generalUI	skillGuide
Fire Surge	Fire Surge	interface	generalUI	skillGuide
Ancient Magicks	Ancient Magicks	interface	generalUI	skillGuide
Lunar Spells	Lunar Spells	interface	generalUI	skillGuide
Arceuus Spells	Arceuus Spells	interface	generalUI	skillGuide
Bolts	Lövedékek	interface	generalUI	skillGuide
Ancient Magicks - Members Only	Ancient Magicks – Csak tagoknak	interface	generalUI	skillGuide
Ancient magicks are available after completing the Desert Treasure I quest.	Ancient magicks are available after completing the Desert Treasure I quest.	interface	generalUI	skillGuide
Home teleport (Edgeville)	Home teleport (Edgeville)	interface	generalUI	skillGuide
Smoke rush	Smoke rush	interface	generalUI	skillGuide
Shadow rush	Shadow rush	interface	generalUI	skillGuide
Paddewwa teleport	Paddewwa teleport	interface	generalUI	skillGuide
Blood rush	Blood rush	interface	generalUI	skillGuide
Ice rush	Ice rush	interface	generalUI	skillGuide
Senntisten teleport	Senntisten teleport	interface	generalUI	skillGuide
Smoke burst	Smoke burst	interface	generalUI	skillGuide
Shadow burst	Shadow burst	interface	generalUI	skillGuide
Kharyrll teleport	Kharyrll teleport	interface	generalUI	skillGuide
Blood burst	Blood burst	interface	generalUI	skillGuide
Ice burst	Ice burst	interface	generalUI	skillGuide
Lassar teleport	Lassar teleport	interface	generalUI	skillGuide
Smoke blitz	Smoke blitz	interface	generalUI	skillGuide
Shadow blitz	Shadow blitz	interface	generalUI	skillGuide
Dareeyak teleport	Dareeyak teleport	interface	generalUI	skillGuide
Blood blitz	Blood blitz	interface	generalUI	skillGuide
Ice blitz	Ice blitz	interface	generalUI	skillGuide
Carrallanger teleport	Carrallanger teleport	interface	generalUI	skillGuide
Smoke barrage	Smoke barrage	interface	generalUI	skillGuide
Shadow barrage	Shadow barrage	interface	generalUI	skillGuide
Annakarl teleport	Annakarl teleport	interface	generalUI	skillGuide
Blood barrage	Blood barrage	interface	generalUI	skillGuide
Ice barrage	Ice barrage	interface	generalUI	skillGuide
Ghorrock teleport	Ghorrock teleport	interface	generalUI	skillGuide
Lunar Spells - Members Only	Lunar Spells – Csak tagoknak	interface	generalUI	skillGuide
Lunar spells are available after completing the Lunar Diplomacy quest.	Lunar spells are available after completing the Lunar Diplomacy quest.	interface	generalUI	skillGuide
Home teleport (Lunar Isle)	Home teleport (Lunar Isle)	interface	generalUI	skillGuide
Bake pie	Bake pie	interface	generalUI	skillGuide
Geomancy	Geomancy	interface	generalUI	skillGuide
Cure plant	Cure plant	interface	generalUI	skillGuide
Monster examine (after Dream Mentor)	Monster examine (after Dream Mentor)	interface	generalUI	skillGuide
NPC Contact	NPC Contact	interface	generalUI	skillGuide
Cure other	Cure other	interface	generalUI	skillGuide
Humidify (after Dream Mentor)	Humidify (after Dream Mentor)	interface	generalUI	skillGuide
Moonclan teleport	Moonclan teleport	interface	generalUI	skillGuide
Tele group Moonclan	Tele group Moonclan	interface	generalUI	skillGuide
Cure me	Cure me	interface	generalUI	skillGuide
Hunter kit (after Dream Mentor)	Hunter kit (after Dream Mentor)	interface	generalUI	skillGuide
Ourania teleport	Ourania teleport	interface	generalUI	skillGuide
Waterbirth teleport	Waterbirth teleport	interface	generalUI	skillGuide
Tele group Waterbirth	Tele group Waterbirth	interface	generalUI	skillGuide
Cure group	Cure group	interface	generalUI	skillGuide
Stat spy (after Dream Mentor)	Stat spy (after Dream Mentor)	interface	generalUI	skillGuide
Barbarian teleport	Barbarian teleport	interface	generalUI	skillGuide
Tele group Barbarian	Tele group Barbarian	interface	generalUI	skillGuide
Spin Flax	Spin Flax	interface	generalUI	skillGuide
Superglass make	Superglass make	interface	generalUI	skillGuide
Tan Leather	Tan Leather	interface	generalUI	skillGuide
Khazard teleport	Khazard teleport	interface	generalUI	skillGuide
Tele group Khazard	Tele group Khazard	interface	generalUI	skillGuide
Dream (after Dream Mentor)	Dream (after Dream Mentor)	interface	generalUI	skillGuide
String jewellery	String jewellery	interface	generalUI	skillGuide
Stat restore pot share	Stat restore pot share	interface	generalUI	skillGuide
Magic imbue	Magic imbue	interface	generalUI	skillGuide
Fertile soil	Fertile soil	interface	generalUI	skillGuide
Boost potion share	Boost potion share	interface	generalUI	skillGuide
Fishing guild teleport	Fishing guild teleport	interface	generalUI	skillGuide
Tele group fishing guild	Tele group fishing guild	interface	generalUI	skillGuide
Plank make (after Dream Mentor)	Plank make (after Dream Mentor)	interface	generalUI	skillGuide
Catherby teleport	Catherby teleport	interface	generalUI	skillGuide
Tele group Catherby	Tele group Catherby	interface	generalUI	skillGuide
Recharge Dragonstone	Recharge Dragonstone	interface	generalUI	skillGuide
Ice plateau teleport	Ice plateau teleport	interface	generalUI	skillGuide
Tele group Ice plateau	Tele group Ice plateau	interface	generalUI	skillGuide
Energy transfer	Energy transfer	interface	generalUI	skillGuide
Heal other	Heal other	interface	generalUI	skillGuide
Vengeance other	Vengeance other	interface	generalUI	skillGuide
Vengeance	Vengeance	interface	generalUI	skillGuide
Heal group	Heal group	interface	generalUI	skillGuide
Spellbook swap (after Dream Mentor)	Spellbook swap (after Dream Mentor)	interface	generalUI	skillGuide
