english	translation	category	sub_category	source
Open <colNum0>Lumbridge & Draynor Journal</col>	Megnyitás: <colNum0>Lumbridge & Draynor napló</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Morytania Journal</col>	Wiki: <colNum0>Morytania napló</col>	actions	menu	achievementDiaryTab
Open <colNum0>Morytania Journal</col>	Megnyitás: <colNum0>Morytania napló</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Varrock Journal</col>	Wiki: <colNum0>Varrock napló</col>	actions	menu	achievementDiaryTab
Open <colNum0>Varrock Journal</col>	Megnyitás: <colNum0>Varrock napló</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Western Provinces Journal</col>	Wiki: <colNum0>Nyugati tartományok napló</col>	actions	menu	achievementDiaryTab
Open <colNum0>Western Provinces Journal</col>	Megnyitás: <colNum0>Nyugati tartományok napló</col>	actions	menu	achievementDiaryTab
Wiki <colNum0>Wilderness Journal</col>	Wiki: <colNum0>Vadon napló</col>	actions	menu	achievementDiaryTab
Open <colNum0>Wilderness Journal</col>	Megnyitás: <colNum0>Vadon napló</col>	actions	menu	achievementDiaryTab
View equipment stats	Felszerelés statisztikái	actions	menu	wornEquipmentTab
View guide prices	Irányárak megtekintése	actions	menu	wornEquipmentTab
View items kept on death	Halálon megtartott tárgyak	actions	menu	wornEquipmentTab
Call follower	Követő hívása	actions	menu	wornEquipmentTab
Disable prayer reordering	Ima átrendezés letiltása	actions	menu	
Enable prayer filtering	Ima szűrés engedélyezése	actions	menu	
Disable spell reordering	Varázslat átrendezés letiltása	actions	menu	
Enable spell filtering	Varázslat szűrés engedélyezése	actions	menu	
Show notifications	Értesítések megjelenítése	actions	menu	
Add Note	Megjegyzés hozzáadása	actions	menu	
Hide notifications	Értesítések elrejtése	actions	menu	
Delete	Törlés	actions	menu	friendsTab
Message	Üzenet	actions	menu	friendsTab
View Ignore List	Tiltólista megtekintése	actions	menu	friendsTab
Add Friend	Barát hozzáadása	actions	menu	friendsTab
Delete Friend	Barát törlése	actions	menu	friendsTab
Hop-to	Ugrás ide	actions	menu	friendsTab
View Friends List	Baráti lista megtekintése	actions	menu	ignoreTab
Delete	Törlés	actions	menu	ignoreTab
Add Name	Név hozzáadása	actions	menu	ignoreTab
Delete Name	Név törlése	actions	menu	ignoreTab
Account	Fiók	actions	menu	accountManagementTab
Community	Közösség	actions	menu	accountManagementTab
Useful Links	Hasznos linkek	actions	menu	accountManagementTab
Open Store	Bolt megnyitása	actions	menu	accountManagementTab
Bond Pouch	Bond Pouch	actions	menu	accountManagementTab
View Inbox	Beérkező megtekintése	actions	menu	accountManagementTab
Name Changer	Névváltás	actions	menu	accountManagementTab
View History	Előzmények megtekintése	actions	menu	accountManagementTab
View Newspost	Hír megtekintése	actions	menu	accountManagementTab
View Archive	Archívum megtekintése	actions	menu	accountManagementTab
Open	Megnyitás	actions	menu	accountManagementTab
Settings	Beállítások	actions	menu	groupTab
Refresh	Frissítés	actions	menu	groupTab
Join	Csatlakozás	actions	menu	groupTab
Setup	Beállítás	actions	menu	groupTab
Find	Keresés	actions	menu	groupTab
Open	Megnyitás	actions	menu	groupTab
Add friend	Barát hozzáadása	actions	menu	groupTab
Add ignore	Tiltólistára adás	actions	menu	groupTab
Teleport	Teleportálás	actions	menu	groupTab
Select	Kiválasztás	actions	menu	groupTab
Join <colNum0><!ANY_TRANSLATED0></col> channel	Csatlakozás: <colNum0><!ANY_TRANSLATED0></col> csatorna	actions	menu	groupTab
Leave <colNum0><!ANY_TRANSLATED0></col> channel	Elhagyás: <colNum0><!ANY_TRANSLATED0></col> csatorna	actions	menu	groupTab
Teleport to <colNum0><!ANY_TRANSLATED0></col>	Teleportálás: <colNum0><!ANY_TRANSLATED0></col>	actions	menu	groupTab
Add friend <!PLAYER_NAME0>	Barát hozzáadása <!PLAYER_NAME0>	actions	menu	groupTab
Add ignore <!PLAYER_NAME0>	Tiltólistára adás <!PLAYER_NAME0>	actions	menu	groupTab
Remove friend <!PLAYER_NAME0>	Barát törlése <!PLAYER_NAME0>	actions	menu	groupTab
Remove ignore <!PLAYER_NAME0>	Tiltólistáról törlés <!PLAYER_NAME0>	actions	menu	groupTab
View Channel	Csatorna megtekintése	actions	menu	groupTab
Toggle skull prevention	Koponya-védelem váltása	actions	menu	settingsTab
Toggle Accept Aid	Segítség elfogadásának váltása	actions	menu	settingsTab
Toggle Run	Futás váltása	actions	menu	settingsTab
View House Options	Házbeállítások megtekintése	actions	menu	settingsTab
Open Bond Pouch	Bond erszény megnyitása	actions	menu	settingsTab
All Settings	Összes beállítás	actions	menu	settingsTab
Controls	Irányítás	actions	menu	settingsTab
Display	Megjelenítés	actions	menu	settingsTab
Audio	Hang	actions	menu	settingsTab
Unmute	Hang visszaállítása	actions	menu	settingsTab
Adjust Brightness	Fényerő beállítása	actions	menu	settingsTab
Restore Default Zoom	Alapértelmezett nagyítás visszaállítása	actions	menu	settingsTab
Disable	Letiltás	actions	menu	settingsTab
Select	Kiválasztás	actions	menu	settingsTab
Perform	Előadás	actions	menu	emotesTab
Perform <colNum0>Relic unlock</col>	Elvégzés: <colNum0>Ereklye feloldása</col>	actions	menu	emotesTab
Loop	Hurok	actions	menu	emotesTab
Area	Terület	actions	menu	musicTab
Manual	Kézikönyv	actions	menu	musicTab
Random	Véletlenszerű	actions	menu	musicTab
Unlock hint	Tipp feloldása	actions	menu	musicTab
Play	Játék	actions	menu	musicTab
Toggle	Váltás	actions	menu	musicTab
Open	Megnyitás	actions	menu	musicTab
Thumbs Up	Felfele mutató hüvelykujj	actions	menu	logoutTab
Thumbs Down	Lefele mutató hüvelykujj	actions	menu	logoutTab
World Switcher	Világ váltó	actions	menu	logoutTab
Logout	Kijelentkezés	actions	menu	logoutTab
Favourite	Kedvenc	actions	menu	worldSwitcherTab
Switch	Váltás	actions	menu	worldSwitcherTab
Logout	Kijelentkezés	actions	menu	worldSwitcherTab
Clear	Törlés	actions	menu	worldSwitcherTab
Close	Bezárás	actions	menu	worldSwitcherTab
Configure	Beállítás	actions	menu	worldSwitcherTab
Grouping	Csoportosítás	actions	menu	groupTab
Ironman Group	Ironman Group	actions	menu	groupTab
Chat-channel	Chat csatorna	actions	menu	groupTab
Your Clan	Saját klánod	actions	menu	groupTab
View another clan	Másik klán megtekintése	actions	menu	groupTab
Message	Üzenet	actions	menu	groupTab
Remove friend	Barát törlése	actions	menu	groupTab
Switch world	Világ váltása	actions	menu	groupTab
View Poll	Szavazás megtekintése	actions	menu	accountManagementTab
Viewer	Néző	actions	menu	
On	Be	actions	menu	
Off	Ki	actions	menu	
Expel Guests	Vendégek elküldése	actions	menu	
Call Servant	Szolga hívása	actions	menu	
Leave House	Ház elhagyása	actions	menu	
Open subsection	Alfejezet megnyitása	actions	menu	
Move	Mozgatás	actions	menu	
Learn More	Tudj meg többet	actions	menu	
